Списання,,,,,,,,,,,
ID списання,Дата,Тип списання,SKU,Назва товару,Кількість,Собівартість 1 од. / ПРРО,Управлінська собівартість 1 од.,Сума списання / ПРРО,Управлінська сума списання,Причина,Примітка
WRT-0059,2026-06-04,Власне відкриття,PKM-JP-MSYM-BST,Pokémon — Mega Symphonia — JP — Booster,3,"57,61 грн","61,07 грн","172,83 грн","183,21 грн",Відкриття для себе / перевірка партії,Посилка LX319422318JP; LOT-0034 / yskh168; 55 шт перенесено в Outlet Mix LOT-0069.
WRT-0060,2026-06-04,Власне відкриття,YGO-JP-QCAC-BST,Yu-Gi-Oh! — Quarter Century Art Collection — JP — Booster,1,"56,73 грн","60,14 грн","56,73 грн","60,14 грн",Відкриття для себе / перевірка партії,Посилка LX319422318JP; LOT-0038 / yskh206.
WRT-0061,2026-06-04,Власне відкриття,OP-JP-OP08-BST,One Piece — OP-08 — JP — Booster,1,"82,67 грн","87,63 грн","82,67 грн","87,63 грн",Відкриття для себе / перевірка партії,Посилка LX319422318JP; LOT-0039 / yskh209.
WRT-0062,2026-06-04,Інше,PKM-JP-SPIN-BST,Pokémon — Ninja Spinner — JP — Booster,2,"63,19 грн","66,98 грн","126,38 грн","133,96 грн",для формування містері бокса,Продаж OC-FOP-0142; прив'язано після аудиту MBX-списань
WRT-0063,2026-06-04,Інше,PKM-JP-MZERO-BST,Pokémon — Munics Zero — JP — Booster,2,"41,07 грн","43,53 грн","82,14 грн","87,06 грн",для формування містері бокса,Продаж OC-FOP-0142; прив'язано після аудиту MBX-списань
WRT-0064,2026-06-04,Інше,PKM-JP-SCEX-BST,Pokémon — Scarlet EX — JP — Booster,1,"88,10 грн","93,39 грн","88,10 грн","93,39 грн",для формування містері бокса,Продаж OC-FOP-0142; прив'язано після аудиту MBX-списань
WRT-0065,2026-06-11,Власне відкриття,PKM-JP-MBRV-BST,Pokémon — Mega Brave — JP — Booster,1,"92,45 грн","98,00 грн","92,45 грн","98,00 грн",Відкриття для себе / перевірка партії,Посилка LX320653384JP; LOT-0050 / yskh227; 18 шт перенесено в Outlet Mix LOT-0071.
WRT-0066,2026-06-04,Інше,OP-JP-OP08-BST,One Piece — OP-08 — JP — Booster,2,"82,67 грн","87,63 грн","165,34 грн","175,26 грн",,Для замовлення OC-FOP-0154 формування містері бокс
WRT-0067,2026-06-04,Інше,OP-JP-OP14-BST,One Piece — OP-14 — JP — Booster,1,"94,07 грн","99,72 грн","94,07 грн","99,72 грн",,Для замовлення OC-FOP-0154 формування містері бокс
WRT-0068,2026-06-04,Інше,OP-JP-OP11-BST,One Piece — OP-11 — JP — Booster,1,"72,54 грн","76,89 грн","72,54 грн","76,89 грн",,Для замовлення OC-FOP-0154 формування містері бокс
WRT-0069,2026-06-04,Інше,OP-JP-EB03-BST,One Piece — EB-03 — JP — Booster,1,"75,71 грн","80,25 грн","75,71 грн","80,25 грн",,Для замовлення OC-FOP-0154 формування містері бокс
WRT-0070,2026-06-12,Інше,PKM-JP-MZERO-BST,Pokémon — Munics Zero — JP — Booster,3,"41,07 грн","43,53 грн","123,21 грн","130,59 грн",,OC-FOP-0147
WRT-0071,2026-06-12,Інше,PKM-JP-SCEX-BST,Pokémon — Scarlet EX — JP — Booster,1,"88,10 грн","93,39 грн","88,10 грн","93,39 грн",,OC-FOP-0147
WRT-0072,2026-06-12,Інше,PKM-JP-OUTL-BST,Pokémon — Outlet Mix — JP — Booster,1,"48,62 грн","51,54 грн","48,62 грн","51,54 грн",,OC-FOP-0147
WRT-0073,2026-06-12,Власне відкриття,PKM-JP-BBLT-BST,Pokémon — Black Bolt — JP — Booster,1,"213,47 грн","226,28 грн","213,47 грн","226,28 грн",,
WRT-0074,2026-06-12,Власне відкриття,PKM-JP-MDEX-BST,Pokémon — Mega Dream EX — JP — Booster,1,"314,18 грн","333,03 грн","314,18 грн","333,03 грн",,Власне відкриття
WRT-0075,2026-06-16,Інше,OP-JP-OP08-BST,One Piece — OP-08 — JP — Booster,2,"82,67 грн","87,63 грн","165,34 грн","175,26 грн",,OC-FOP-0181
WRT-0076,2026-06-16,Інше,OP-JP-OP11-BST,One Piece — OP-11 — JP — Booster,1,"72,54 грн","76,89 грн","72,54 грн","76,89 грн",,OC-FOP-0181
WRT-0077,2026-06-16,Інше,OP-JP-OP15-BST,One Piece — OP-15 — JP — Booster,3,"82,21 грн","87,14 грн","246,63 грн","261,42 грн",,OC-FOP-0181
WRT-0078,2026-06-16,Інше,OP-JP-OP14-BST,One Piece — OP-14 — JP — Booster,2,"94,07 грн","99,72 грн","188,14 грн","199,44 грн",,OC-FOP-0181
WRT-0079,2026-06-16,Інше,OP-JP-EB03-BST,One Piece — EB-03 — JP — Booster,2,"75,71 грн","80,25 грн","151,42 грн","160,50 грн",,OC-FOP-0181
