Booster Shop CRM - Дашборд,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,SKU,Назва,Виручка,Чистий прибуток,Продано,Статус,Бренд,Формат,Останній продаж
,,,,,,OP-JP-OP08-BST,One Piece — OP-08 — JP — Booster,30,0,,,,,,,,,,,,,,,,,YGO-JP-WPP5-BST,Yu-Gi-Oh! — World Premiere Pack 2024 — JP — Booster,"0,00 грн","0,00 грн",0,Немає,Yu-Gi-Oh!,Booster,1899-12-30
,,,,,,OP-JP-OP11-BST,One Piece — OP-11 — JP — Booster,4,0,,,,,,,,,,,,,,,,,YGO-JP-WPP5-BBX,Yu-Gi-Oh! — World Premiere Pack 2024 — JP — Booster Box,"0,00 грн","0,00 грн",0,Мало,Yu-Gi-Oh!,Booster Box,1899-12-30
,,,,,,OP-JP-OP14-BST,One Piece — OP-14 — JP — Booster,23,0,,,,,,,,,,,,,,,,,PKM-KR-HWAK-BST,Pokémon — Hot Wind Arena — KR — Booster,"425,00 грн","42,54 грн",17,ОК,Pokémon,Booster,2026-07-05
,,,,,,OP-JP-OP15-BST,One Piece — OP-15 — JP — Booster,15,0,,,,,,,,,,,,,,,,,PKM-JP-ABYE-BST,Pokémon — Abyss Eye — JP — Booster,"0,00 грн","0,00 грн",0,Немає,Pokémon,Booster,1899-12-30
,,,,,,OP-JP-OP15-BBX,One Piece — OP-15 — JP — Booster Box,2,0,,,,,,,,,,,,,,,,,PKM-JP-ABYE-BBX,Pokémon — Abyss Eye — JP — Booster Box,"0,00 грн","0,00 грн",0,Немає,Pokémon,Booster Box,1899-12-30
,,,,,,OP-JP-V7PR-BST,One Piece — V7 Promo — JP — Booster,22,0,,,,,,,,,,,,,,,,,PKM-JP-MBRV-BBX,Pokémon — Mega Brave — JP — Booster Box,"0,00 грн","0,00 грн",0,ОК,Pokémon,Booster Box,1899-12-30
,,,,,,PKM-JP-BBLT-BST,Pokémon — Black Bolt — JP — Booster,24,0,,,,,,,,,,,,,,,,,ACC-001,"Протектори для карток 63×89 мм, 100 шт","0,00 грн","0,00 грн",0,Немає,Generic,Accessory,1899-12-30
,,,,,,PKM-KR-HWAK-BST,Pokémon — Hot Wind Arena — KR — Booster,12,0,,,,,,,,,,,,,,,,,ACC-002,"Протектори Games 7 Days Premium+ 63,5×88 мм, 50 шт","100,00 грн","27,43 грн",1,ОК,Games 7 Days,Accessory,2026-07-08
,,,,,,PKM-JP-INFX-BST,Pokémon — Inferno X — JP — Booster,27,30,,,,,,,,,,,,,,,,,ACC-003,"Топлоадери для карток 35PT, 25 шт","0,00 грн","0,00 грн",0,Немає,Generic,Accessory,1899-12-30
,,,,,,PKM-JP-MBRV-BBX,Pokémon — Mega Brave — JP — Booster Box,2,0,,,,,,,,,,,,,,,,,ACC-004,Магнітний кейс для карток 35PT,"75,00 грн","44,42 грн",1,ОК,Generic,Accessory,2026-07-08
,,,,,,PKM-JP-MDEX-BST,Pokémon — Mega Dream EX — JP — Booster,6,0,,,,,,,,,,,,,,,,,ACC-005,Акрилова підставка для магнітного кейсу,"0,00 грн","0,00 грн",0,Немає,Generic,Accessory,1899-12-30
,,,,,,PKM-JP-MSYM-BST,Pokémon — Mega Symphonia — JP — Booster,18,30,,,,,,,,,,,,,,,,,ACC-006,Аркуш Games 7 Days Premium на 9 кишеньок,"0,00 грн","0,00 грн",0,Мало,Games 7 Days,Accessory,1899-12-30
,,,,,,PKM-JP-MZERO-BLR,Pokémon — Munics Zero — JP — Blister,2,2,,,,,,,,,,,,,,,,,ACC-007,"Альбом для колекційних карток, жовтий","0,00 грн","0,00 грн",0,Немає,Generic,Accessory,1899-12-30
,,,,,,PKM-JP-MZERO-BST,Pokémon — Munics Zero — JP — Booster,37,0,,,,,,,,,,,,,,,,,ACC-008,"Акриловий протектор без магніта, 1 шт","0,00 грн","0,00 грн",0,Немає,Generic,Accessory,1899-12-30
,,,,,,PKM-JP-MZERO-BBX,Pokémon — Munics Zero — JP — Booster Box,1,0,,,,,,,,,,,,,,,,,ACC-009,"Топлоадер для картки 35PT, 1 шт","0,00 грн","0,00 грн",0,Немає,Generic,Accessory,1899-12-30
,,,,,,PKM-JP-SPIN-BST,Pokémon — Ninja Spinner — JP — Booster,40,0,,,,,,,,,,,,,,,,,PKM-EN-PORD-BBN,Pokémon — Perfect Order — EN — Booster Bundle,"0,00 грн","0,00 грн",0,Немає,Pokémon,Booster Bundle,1899-12-30
,,,,,,PKM-JP-OUTL-BST,Pokémon — Outlet Mix — JP — Booster,50,0,,,,,,,,,,,,,,,,,PKM-EN-PORD-BST,Pokémon — Perfect Order — EN — Booster,"0,00 грн","0,00 грн",0,Немає,Pokémon,Booster,1899-12-30
,,,,,,PKM-JP-SVEX-BLR,Pokémon — Scarlet & Violet ex Special Set — JP — Blister,3,0,,,,,,,,,,,,,,,,,PKM-EN-CHRS-BBN,Pokémon — Chaos Rising — EN — Booster Bundle,"0,00 грн","0,00 грн",0,Немає,Pokémon,Booster Bundle,1899-12-30
,,,,,,PKM-JP-WFLR-BST,Pokémon — White Flare — JP — Booster,9,0,,,,,,,,,,,,,,,,,PKM-EN-CHRS-BST,Pokémon — Chaos Rising — EN — Booster,"0,00 грн","0,00 грн",0,Немає,Pokémon,Booster,1899-12-30
,,,,,,YGO-JP-BDOM-BST,Yu-Gi-Oh! — Blazing Dominion — JP — Booster,29,0,,,,,,,,,,,,,,,,,OP-JP-OP16-BBX,One Piece — OP-16 — JP — Booster Box,"0,00 грн","0,00 грн",0,Немає,One Piece,Booster Box,1899-12-30
,,,,,,YGO-JP-QCAC-BST,Yu-Gi-Oh! — Quarter Century Art Collection — JP — Booster,14,0,,,,,,,,,,,,,,,,,OP-JP-OP16-BST,One Piece — OP-16 — JP — Booster,"0,00 грн","0,00 грн",0,Немає,One Piece,Booster,1899-12-30
,,,,,,YGO-JP-WPP5-BBX,Yu-Gi-Oh! — World Premiere Pack 2024 — JP — Booster Box,1,0,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-19
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-19
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-19
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-19
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-19
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-19
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-19
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-19
